Order,Placing,Name,R1-P,R1-W,R1-W-Low,R2-P,R2-W,R2-W-Low,,,,,,,,,,,,,,,,Points,Weight,,
1,1st,Danny Mason,1,13-13,,1,26-06,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,2,40-03,7th,40-03
2,2nd,Andy Mead,1,19-08,,1,7-15,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,2,27-07,32nd,27-07
3,3rd,Mick Hanks,2,22-14,,1,28-08,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,3,51-06,1st,51-06
4,4th,Robert Hubbard,2,31-06,,2,17-14,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,4,49-04,3rd,49-04
5,5th,Bob Nudd,3,18-12,,1,28-04,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,4,47-00,4th,47-00
6,6th,Kevin Paynter,1,26-13,,3,17-11,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,4,44-08,5th,44-08
7,7th,Alan Luetchford,1,17-15,,3,22-03,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,4,40-02,8th,40-02
8,8th,Gary Fuller,2,17-09,,2,22-08,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,4,40-01,9th,40-01
9,9th,Dave McCall,3,12-05,,1,27-11,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,4,40-00,11th,40-00
10,10th,Mark Campion,2,18-13,,2,13-03,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,4,32-00,22nd,32-00
11,11th,Steve Clark,1,22-05,,3,4-15,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,4,27-04,33rd,27-04
12,12th,Steve O'Rourke,1,19-15,,4,21-02,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,5,41-01,6th,41-01
13,13th,Lee Lawrence,4,17-06,,1,22-10,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,5,40-00,11th,40-00
14,14th,Adrian Hindry,3,16-00,,2,22-03,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,5,38-03,14th,38-03
15,15th,Martin Caldecoat,4,15-11,,1,15-15,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,5,31-10,23rd,31-10
16,16th,Richard Alexander,2,10-05,,3,5-00,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,5,15-05,67th,15-05
17,17th,Paul Chambers,1,24-11,,5,15-06,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,6,40-01,9th,40-01
18,18th,Justin Newton,1,16-11,,5,13-05,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,6,30-00,26th,30-00
19,19th,Steve Kindleysides,4,8-10,,2,21-02,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,6,29-12,27th,29-12
20,20th,Dave Pike,4,20-06,,3,18-12,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,7,39-02,13th,39-02
21,21st,Matt Page,5,15-08,,2,18-01,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,7,33-09,19th,33-09
22,22nd,Robert Houlding,2,16-01,,5,7-04,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,7,23-05,51st,23-05
23,23rd,Gary McClair,5,14-01,,2,7-09,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,7,21-10,56th,21-10
24,24th,Glenn Hubbard,1,41-07,,7,9-10,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,8,51-01,2nd,51-01
25,25th,Simon Pointer,7,16-10,,1,19-03,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,8,35-13,15th,35-13
26,26th,Paul Murrin,6,12-12,,2,22-03,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,8,34-15,17th,34-15
27,27th,John Taylor,5,17-01,,3,10-08,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,8,27-09,30th,27-09
28,28th,Trevor Stacey,2,12-01,,6,12-01,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,8,24-02,46th,24-02
29,29th,Paul Smith,7,7-11,,1,7-01,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,8,14-12,72nd,14-12
30,30th,Paul Hudson,2,12-01,,6,2-10,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,8,14-11,74th,14-11
31,31st,Ian Holmes,7,10-02,,2,25-01,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,9,35-03,16th,35-03
32,32nd,Martin Spence,5,11-02,,4,16-06,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,9,27-08,31st,27-08
33,33rd,Jeannette Halliday,4,11-11,,5,14-04,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,9,25-15,40th,25-15
34,34th,Gary Abbott,4,14-12,,5,11-00,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,9,25-12,41st,25-12
35,35th,Ken Pacey,2,14-10,,7,8-13,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,9,23-07,50th,23-07
