Order,Placing,Name,R1-P,R1-W,,,,,,,,,,,,,,,,,,,,Points,Weight,,
1,1st,Paul Chambers  &<br>  Alan Luetchford,2,38-04,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,2,38-04,1st,38-04
2,2nd,Karl Dowse  &<br>  Simon Smith,3,26-09,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,3,26-09,5th,26-09
3,3rd,John Brice  &<br>  Dave Gooch,3,25-01,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,3,25-01,8th,25-01
4,4th,Steve Clark  &<br>  Nick Larkin,3,23-01,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,3,23-01,10th,23-01
5,5th,Kevin Fuller  &<br>  Richard Watson,4,30-08,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,4,30-08,3rd,30-08
6,6th,Paul Abbott  &<br>  Bob Nudd,4,28-00,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,4,28-00,4th,28-00
7,7th,Rob Hewison  &<br>  Rob Johnson,4,22-04,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,4,22-04,12th,22-04
8,8th,Steve Harwood  &<br>  Ray Malle,5,34-04,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,5,34-04,2nd,34-04
9,9th,Andy Mead  &<br>  Phil Speakman,5,23-13,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,5,23-13,9th,23-13
10,10th,Doug Botley  &<br>  Steve Kindleysides,5,18-11,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,5,18-11,21st,18-11
11,11th,Tony Curtis  &<br>  Lee Lawrence,6,25-06,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,6,25-06,7th,25-06
12,12th,Mick Hanks  &<br>  Martin Spence,6,21-03,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,6,21-03,14th,21-03
13,13th,Scott Denton  &<br>  Neil Smith,6,20-06,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,6,20-06,15th,20-06
14,14th,Glenn Hubbard  &<br>  Robert Hubbard,7,25-15,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,7,25-15,6th,25-15
15,15th,Derek Adcock  &<br>  Dusty Kiddell,7,22-08,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,7,22-08,11th,22-08
16,16th,James Collinson  &<br>  Steve Hansed,7,19-06,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,7,19-06,17th,19-06
17,17th,Matt Page  &<br>  Steve Spooner,7,18-13,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,7,18-13,20th,18-13
18,18th,Ben Jackson  &<br>  Simon Pointer,8,21-11,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,8,21-11,13th,21-11
19,19th,Mark Murdoch  &<br>  Dave Pike,8,19-04,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,8,19-04,19th,19-04
20,20th,Tim Bruce  &<br>  Trevor Stacey,8,12-06,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,8,12-06,26th,12-06
21,21st,Billy Hughes  &<br>  Steve O'Rourke,9,19-06,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,9,19-06,17th,19-06
22,22nd,Colin Sadler  &<br>  Rick Tyler,9,11-09,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,9,11-09,30th,11-09
23,23rd,Robin Austrin  &<br>  Ian Bailey,10,19-07,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,10,19-07,16th,19-07
24,24th,Chris Dyall  &<br>  Mark Wheeler,10,15-02,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,10,15-02,24th,15-02
25,25th,Chris Sykes  &<br>  Martyn Tozer,10,12-05,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,10,12-05,27th,12-05
26,26th,Andy Clarke  &<br>  Dave Wray,10,9-13,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,10,9-13,31st,9-13
27,27th,Ken Pacey  &<br>  John Southgate,11,16-15,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,11,16-15,22nd,16-15
28,28th,Gary Abbott  &<br>  Robert Houlding,11,15-09,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,11,15-09,23rd,15-09
29,29th,Craig Nichols  &<br>  Justin Newton,11,13-14,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,11,13-14,25th,13-14
30,30th,Richard Jacobs  &<br>  Paul Lawrence,11,11-11,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,11,11-11,29th,11-11
31,31st,Mick Mirgaux  &<br>  Brian Weavers,12,11-14,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,12,11-14,28th,11-14
32,32nd,Brian Bygrave  &<br>  Tony Gibbons,12,8-02,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,12,8-02,32nd,8-02
33,33rd,Andy King  &<br>  Tom Webb,12,5-03,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,12,5-03,33rd,5-03
