Order,Placing,Name,R1-P,R1-W,R1-W-Low,R2-P,R2-W,R2-W-Low,R3-P,R3-W,R3-W-Low,,,,,,,,,,,,,Points,Weight,,
1,1st,Barry Oliver  &<br>  Mark Murdoch,6,11-08,,2,35-07,,2,27-01,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,10,74-00,4th,74-00
2,2nd,Mark Banks  &<br>  Alan Luetchford,3,14-07,,4,25-08,,6,37-09,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,13,77-08,2nd,77-08
3,3rd,Kevin Fuller  &<br>  Robert Hubbard,6,14-07,,4,41-14,,6,29-12,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,16,86-01,1st,86-01
4,4th,Mick Hanks  &<br>  Martin Spence,8,9-05,,3,25-10,,5,30-05,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,16,65-04,9th,65-04
5,5th,Tony Curtis  &<br>  Lee Lawrence,2,18-06,,10,23-15,,5,34-05,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,17,76-10,3rd,76-10
6,6th,Bob Nudd  &<br>  John Taylor,4,22-09,,9,21-13,,7,26-10,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,20,71-00,5th,71-00
7,7th,Paul Chambers  &<br>  Karl Dowse,9,9-02,,8,23-03,,4,34-09,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,21,66-14,7th,66-14
8,8th,Matt Corne  &<br>  Dave Gooch,10,8-09,,6,25-11,,9,21-01,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,25,55-05,17th,55-05
9,9th,Colin Blake  &<br>  Robert Houlding,10,12-02,,7,28-03,,10,23-13,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,27,64-02,10th,64-02
10,10th,Daren Mallett  &<br>  Gary Mallett,8,12-07,,8,28-05,,11,21-13,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,27,62-09,11th,62-09
11,11th,Paul Abbott  &<br>  Steve Clark,9,17-01,,11,18-08,,7,22-03,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,27,57-12,15th,57-12
12,12th,Billy Hughes  &<br>  Steve O'Rourke,13,10-09,,8,24-05,,7,34-03,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,28,69-01,6th,69-01
13,13th,Richard Jacobs  &<br>  Andy Mead,10,18-10,,9,20-06,,9,27-09,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,28,66-09,8th,66-09
14,14th,Robin Austrin  &<br>  Ian Bailey,10,6-10,,10,18-09,,8,30-02,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,28,55-05,17th,55-05
15,15th,Brian Bygrave  &<br>  Tony Gibbons,8,15-01,,9,20-03,,12,25-01,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,29,60-05,13th,60-05
16,16th,Ian Cochrane  &<br>  Kevin Knights,9,10-14,,13,20-14,,7,28-00,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,29,59-12,14th,59-12
17,17th,Mick Mirgaux  &<br>  Brian Weavers,10,17-02,,9,24-07,,12,19-01,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,31,60-10,12th,60-10
18,18th,Mark Campion  &<br>  Trevor Stacey,8,16-07,,9,23-07,,14,13-11,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,31,53-09,19th,53-09
19,19th,Ian Holmes  &<br>  Terry Smith,12,13-01,,8,25-06,,12,18-04,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,32,56-11,16th,56-11
20,20th,Michael Craske  &<br>  Preston Gilding,12,6-06,,8,24-07,,13,12-15,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,33,43-12,22nd,43-12
21,21st,Mark Haverson  &<br>  Paul Hudson,8,20-14,,16,0-00,,9,21-10,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,33,42-08,24th,42-08
22,22nd,Sean James  &<br>  Peter Gitsham,11,4-14,,11,18-12,,12,19-05,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,34,42-15,23rd,42-15
23,23rd,Steven Day  &<br>  Paul Lawrence,13,10-15,,14,16-05,,9,25-11,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,36,52-15,20th,52-15
24,24th,Alan Dorrian  &<br>  John Southgate,12,12-03,,14,11-08,,12,28-12,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,38,52-07,21st,52-07
25,25th,Mick Davey  &<br>  Pip Mills,12,7-06,,14,10-07,,14,14-06,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,40,32-03,25th,32-03
26,26th,Mick Burch  &<br>  Richard Watson,14,5-08,,16,0-00,,16,0-00,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,46,5-08,26th,5-08
